1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,iata_code
347.0,2.0,46.0,1007.0,3.0,0.4,2.22,3.0,728.0,509.0,2.0,1.0,3.0,3.0,3.0,1.0,20.0,2.0,2.0456126140850026,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.97,Asia,Thailand,chiang mai,CNX
628.0,4.0,42.0,1342.0,3.0,0.61,2.38,3.0,1080.0,778.0,3.0,1.0,3.0,3.0,3.0,1.0,19.0,3.0,4.0,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,4.0,4.9,Asia,Thailand,bangkok,BKK
754.0,3.0,24.0,2379.0,3.0,1.3,1.29,2.0,1602.0,871.0,3.0,3.0,3.0,3.0,2.0,4.0,30.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.46,Europe,Portugal,lisbon,LIS
1694.0,2.0,16.0,2898.0,2.0,1.92,3.89,1.0,2809.0,1889.0,3.0,3.0,2.0,2.0,3.0,4.0,46.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,3.94,Europe,Ireland,dublin,PSK
924.0,2.0,24.0,1495.0,3.0,2.21,2.97,2.0,1909.0,1273.0,3.0,2.0,3.0,3.0,3.0,2.0,31.0,3.0,3.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,4.0,4.0,4.16,Europe,United Kingdom,manchester,MHT
2134.0,2.0,17.0,2349.0,2.0,2.32,2.89,1.0,2810.0,2079.0,3.0,3.0,4.0,2.0,4.0,3.0,19.0,4.0,1.0,4.0,3.0,3.0,0.0,1.0,4.0,4.0,4.0,4.0,4.38,Oceania,Australia,sydney,SYD
2000.0,2.0,15.0,3233.0,2.0,1.61,3.9,1.0,2945.0,2039.0,3.0,2.0,3.0,3.0,3.0,3.0,36.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.29,North America,United States,san diego ca,MYF
1244.0,3.0,26.0,3020.0,3.0,1.92,3.93,1.0,2515.0,1594.0,4.0,3.0,3.0,3.0,4.0,3.0,37.0,4.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.47,Europe,Sweden,stockholm,SMP
1828.0,2.0,22.0,3294.0,1.9887059728979717,4.05,4.19,1.0,3114.0,1924.0,3.0,4.0,3.0,3.0,4.0,4.0,36.0,3.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,1.0,3.89,Europe,Norway,oslo,OSL
1395.0,2.0,16.0,2410.0,1.9065236094239175,3.33,4.31,1.0,2882.0,1904.0,3.0,4.0,3.0,3.0,4.0,4.0,38.0,2.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.25,Europe,Norway,tromso,TOS
1440.0,2.0,11.0,2806.0,2.0,1.87,3.98,1.0,2508.0,1628.0,4.0,2.0,3.0,3.0,3.0,3.0,15.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.39,North America,United States,fort lauderdale fl,FLL
1330.0,2.0,12.0,2501.0,2.0,1.67,3.61,1.0,2404.0,1664.0,3.0,2.0,4.0,4.0,3.0,3.0,41.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,4.0,4.0,4.0,4.36,North America,United States,portland or,PWM
1244.0,3.0,21.0,1830.0,1.0,2.33,3.32,1.0,2159.0,1527.0,4.0,3.0,3.0,4.0,3.0,3.0,33.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,3.8,Europe,Germany,hamburg,HAM
668.0,2.0,20.0,2013.0,1.0,2.24,2.78,2.0,1687.0,999.0,4.0,3.0,3.0,2.0,3.0,3.0,33.0,4.0,2.0,4.0,3.0,3.0,0.0,1.0,4.0,3.0,4.0,4.0,4.31,Europe,Germany,bremen,BRE
829.0,3.0,8.0,1586.0,1.0,2.17,3.51,2.0,1765.0,1185.0,4.0,3.0,3.0,2.0,3.0,4.0,38.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.32,Europe,Austria,vienna,VIE
440.0,2.0,27.0,1464.0,3.0,1.1,1.9,3.0,1052.0,608.0,3.0,3.0,2.0,2.0,3.0,2.0,42.0,1.0,2.0,3.0,3.0,1.8997426846444876,0.0,0.0,3.0,3.0,4.0,4.0,4.17,Europe,Slovakia,bratislava,BTS
1208.0,2.0,29.0,2257.0,3.0,0.94,1.28,2.0,1792.0,1211.0,3.0,2.0,2.0,3.0,2.0,2.0,37.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,4.0,4.0,4.93,Europe,Hungary,budapest,BUD
